==========AS OF ADDING BENCHMARKS==========

BenchmarkTransferVelocityToGrid-8                    200            599004 ns/op               0 B/op          0 allocs/op
BenchmarkUpdateParticleDensity-8                     200            185601 ns/op               0 B/op          0 allocs/op
BenchmarkSolveIncompressibility-8                    200           1112188 ns/op               0 B/op          0 allocs/op
BenchmarkTransferVelocityToParticles-8               200            511616 ns/op               0 B/op          0 allocs/op
BenchmarkBuildSpacialHash-8                          200             76145 ns/op               0 B/op          0 allocs/op
PASS
ok      github.com/moltenwolfcub/fluidSim/simulation    7.004s

==========DATA TYPE CHANGES==========

BenchmarkSimulate-8                                  200          11548121 ns/op          988590 B/op         55 allocs/op
BenchmarkInitialise-8                                200             44719 ns/op               0 B/op          0 allocs/op
BenchmarkIntegrateParticles-8                        200             19861 ns/op               0 B/op          0 allocs/op
BenchmarkPushParticlesApart-8                        200           1323250 ns/op          329233 B/op         18 allocs/op
BenchmarkHandleWallCollisons-8                       200             26443 ns/op               0 B/op          0 allocs/op
BenchmarkTransferVelocityToGrid-8                    200            597828 ns/op               0 B/op          0 allocs/op
BenchmarkUpdateParticleDensity-8                     200            183671 ns/op               0 B/op          0 allocs/op
BenchmarkSolveIncompressibility-8                    200           1031053 ns/op               0 B/op          0 allocs/op
BenchmarkTransferVelocityToParticles-8               200            480270 ns/op               0 B/op          0 allocs/op
BenchmarkBuildSpacialHash-8                          200            106511 ns/op               0 B/op          0 allocs/op
PASS
ok      github.com/moltenwolfcub/fluidSim/simulation    6.843s

==========REMOVED PARTICLETOCELL HELPER FUNC==========

BenchmarkSimulate-8                                  200          10627245 ns/op          988572 B/op         55 allocs/op
BenchmarkInitialise-8                                200             52812 ns/op               0 B/op          0 allocs/op
BenchmarkIntegrateParticles-8                        200             19708 ns/op               0 B/op          0 allocs/op
BenchmarkPushParticlesApart-8                        200           1313961 ns/op          329295 B/op         18 allocs/op
BenchmarkHandleWallCollisons-8                       200             27086 ns/op               0 B/op          0 allocs/op
BenchmarkTransferVelocityToGrid-8                    200            410452 ns/op               0 B/op          0 allocs/op
BenchmarkUpdateParticleDensity-8                     200            188681 ns/op               0 B/op          0 allocs/op
BenchmarkSolveIncompressibility-8                    200           1052434 ns/op               0 B/op          0 allocs/op
BenchmarkTransferVelocityToParticles-8               200            350313 ns/op               0 B/op          0 allocs/op
BenchmarkBuildSpacialHash-8                          200             76676 ns/op               0 B/op          0 allocs/op
PASS
ok      github.com/moltenwolfcub/fluidSim/simulation    6.280s

==========MULTITHREADED GRID2PARTICLE==========

BenchmarkSimulate-8                                  200           9896519 ns/op         1973943 B/op         85 allocs/op
BenchmarkInitialise-8                                200             47063 ns/op               0 B/op          0 allocs/op
BenchmarkIntegrateParticles-8                        200             20744 ns/op               0 B/op          0 allocs/op
BenchmarkPushParticlesApart-8                        200           1254748 ns/op          329266 B/op         18 allocs/op
BenchmarkHandleWallCollisons-8                       200             26266 ns/op               0 B/op          0 allocs/op
BenchmarkTransferVelocityToGrid-8                    200            410289 ns/op               0 B/op          0 allocs/op
BenchmarkUpdateParticleDensity-8                     200            188066 ns/op               0 B/op          0 allocs/op
BenchmarkSolveIncompressibility-8                    200           1065061 ns/op               0 B/op          0 allocs/op
BenchmarkTransferVelocityToParticles-8               200            246162 ns/op          328464 B/op         10 allocs/op
BenchmarkBuildSpacialHash-8                          200             75492 ns/op               0 B/op          0 allocs/op
PASS
ok      github.com/moltenwolfcub/fluidSim/simulation    6.125s
